AppName,PackageName,LauncherActivity
Buddy4Study Video App,com.buddy4study.video,com.buddy4study.video.MainActivity
MakeMyTrip,com.makemytrip,com.mmt.travel.app.home.ui.SplashActivityPrimary
RustDesk,com.carriez.flutter_hbb,com.carriez.flutter_hbb.MainActivity
OpenVPN for Android,de.blinkt.openvpn,de.blinkt.openvpn.activities.MainActivity
OLX India,com.olx.southasia,com.olxgroup.panamera.app.users.onboarding.activities.SplashActivity
PCAPdroid,com.emanuelef.remote_capture,com.emanuelef.remote_capture.activities.MainActivity
TripIt,com.tripit,com.tripit.splash.SplashActivity
IndiaMART,com.indiamart.m,com.indiamart.m.MainActivity
Niagara Launcher,bitpit.launcher,bitpit.launcher.ui.HomeActivity
Plus,org.telegram.plus,org.telegram.messenger.AquaIcon
Urban Company,com.urbanclap.urbanclap,com.urbanclap.urbanclap.core.app_icon.NormalUser
Desmos,com.desmos.calculator,com.desmos.calculator.MainActivity
Razorpay,com.razorpay.payments.app,com.razorpay.payments.app.MainActivity
SHEIN,com.ril.shein,com.ril.shein.launch.activity.SplashScreenActivity
Bandcamp,com.bandcamp.android,com.bandcamp.android.view.SplashActivity
DroidCam,com.dev47apps.obsdroidcam,com.dev47apps.obsdroidcam.MainActivity
Commons,fr.free.nrw.commons,fr.free.nrw.commons.auth.LoginActivity
Aegis,com.beemdevelopment.aegis,com.beemdevelopment.aegis.ui.MainActivity
GeoGebra,org.geogebra.android.calculator.suite,org.geogebra.android.privatelibrary.splashscreen.SplashScreenActivity
Proton VPN,ch.protonvpn.android,ch.protonvpn.android.RoutingActivity
Bitwarden,com.x8bit.bitwarden,com.x8bit.bitwarden.MainActivity
Collabora Office,com.collabora.libreoffice,org.libreoffice.androidapp.ui.LibreOfficeUIActivity
Open Camera,net.sourceforge.opencamera,net.sourceforge.opencamera.MainActivity
Lenskart,com.lenskart.app,com.lenskart.app.main.ui.SplashActivity
Contacts,com.google.android.contacts,com.android.contacts.activities.PeopleActivity
Domino's,com.Dominos,com.Dominos.activity.alias.LauncherDefaultAlias
Chalo,app.zophop,app.chalo.android.MainActivity
Nova Launcher,com.teslacoilsw.launcher,com.teslacoilsw.launcher.NovaShortcutHandler
Paytm,net.one97.paytm,net.one97.paytm.landingpage.activity.AJRMainActivity
BankBazaar,com.bankbazaar.app,com.bankbazaar.app.MainActivity
Shelter,net.typeblog.shelter,net.typeblog.shelter.ui.MainActivity
WhatsApp,com.whatsapp,com.whatsapp.Main
Steam,com.valvesoftware.android.steam.community,com.valvesoftware.android.steam.community.MainActivity
IMDb,com.imdb.mobile,com.imdb.mobile.HomeActivity
KDE Connect,org.kde.kdeconnect_tp,org.kde.kdeconnect.ui.MainActivity
Rethink,com.celzero.bravedns,com.celzero.bravedns.ui.activity.LauncherAliasAppLock
Blinkit,com.grofers.customerapp,com.grofers.customerapp.DIWALI
Kite,com.zerodha.kite3,com.zerodha.kite3.MainActivity
Practo,com.practo.fabric,com.practo.fabric.LauncherAlias
Decathlon,com.evamall.evacustomer,com.evamall.evacustomer.MainActivity
Kvaesitso,de.mm20.launcher2.release,de.mm20.launcher2.ui.launcher.LauncherActivity
Lemuroid,com.swordfish.lemuroid,com.swordfish.lemuroid.app.mobile.feature.main.MainActivity
Geto,com.android.geto,com.android.geto.MainActivity
AIDA64,com.finalwire.aida64,com.finalwire.aida64.HHMainActivity
BookMyShow,com.bt.bms,com.movie.bms.splashscreen.SplashScreenActivity
